entry,type
Circolo Italiano,institution
Barnard College,institution
New York City Landmarks Preservation Commission,institution
Lloyd A Free,institution
Allied Military Government,institution
Educational Exchange Program,institution
Walt Disney,institution
Giuseppe Antonio Borgese,person
Pearl S Buck,person
Luigi Santucci,person
Ugo Zatterin,person
Saverio Strati,person
Antonio Fogazzaro,person
Franco Fortini,person
Antonio Rinaldi,person
Roberto Roversi,person
Joyce Lussu,person
Giuseppe Dessi,person
Margaret Bottrall,person
Henry Furst,person
William Packer,person
Oscar de Liso,person
Dallas Time Herald,institution
Alfredo De Palchi,person
Sonia Raiziss,person
Guido Lopez,person
Glauco Cambon,person
Rocco Scotellaro,person
Leonardo Sinisgalli,person
Ursule Molinaro,person
Lynne Lawner,person
Margo Viscusi,person
Anthony Viscusi,person
Charles Wright,person
Piergiorgio Bellocchio,person
Paolo Carra,person
Sergio Quartesan,person
Ugo Carrega,person
Massimo Ferretti,person
Giorgio Cesarano,person
Bartolo Cattafi,person
Alberto Gozzi,person
Gaetano Testa,person
Nanni Balestrini,person
Alfredo Giuliani,person
Toti Scialoja,person
Luigi Fontanella,person
Bantam Books,institution
George Weller,person
Harold Weir,person
Ministry of Foreign Affairs,institution
Chicago Daily News,institution
Mary Donovan,person
Powers Hapgood,person
Catherine Huntington,person
Creighton Hill,institution
Gardner Jackson,person
C W Whitemore,person
Carlo Sforza,person
Aldo Garosci,person
Helen Paquin,person
Italian Republican Party,institution
Mazzini Society,institution
Boston University,institution
War Department's Information,institution
Bibliografia Salveminiana,institution
Guida bibliografica degli scrittori italiani in esilio,institution
Belfagor,institution
Paola Mazzetti,person
Robert Einstein,person
Albert Einstein,person
Franz Kafka,person
Lindsay Anderson,person
Tony Richardson,person
Karel Reisz,person
Marguerite Waldeman,person
Slade School of Fine Art,institution
Free Cinema Movement,institution
Viareggio Prize,institution
Aldo Garzanti Editore,institution
David McKay Company,institution
George Weidenfeld,person
Terence Kilmartin,person
L K Conrad,person
Vernon Scannel,person
Josephine de Boer,person
William Mostyn-Owen,person
Irwin Shaw,person
Piero Sraffa,person
Francis Bacon,person
Eric Hobsbawm,person
Antonia Fraser,person
John Pope-Hennessy,person
St Martin's School of Art,institution
Observer,institution
New Statesman,institution
Pamela Swinglehurst,person
Mihaly Csikszentmihalyi,person
NASA,institution
Horizon Press Publishers,person
Anthony Chiuminatto,person
Constance Dowling,person
Donald D Paige,person
Robert W Flint,person
Donald Heiney,person
Gian Paolo Biasin,person
The Kenyon Review,institution
Cornell University Press,institution
Lux Film,person
Franco Angeli,person
Silvia Stefani,person
Bruno Oddera,person
Magda de Cristofaro,person
Luciano Bianciardi,person
Vincenzo Mantovani,person
Miro Silvera,person
Carlo Corsi,person
Pier Francesco Paolini,person
Gian Pieretti,person
Alberto Arbasino,person
Club degli Editori,institution
Sugar,institution
Arcana Editrice,person
Alberto Mondadori,person
Peter Orlovski,person
Peggy Guggenheim,person
Alan Ansen,person
Peter Orlovsky,person
Il Tarocco,institution
Pianeta Fresco,person
Donatella Manganotti,person
Giulio Saponaro,person
Giansitto Ferrata,person
Oreste del Buono,person
Olympia Press,person
Gianni Milano,person
Antonio Infantino,person
Charles Bukowski,person
Ottavio Rosati,person
Charles L'Episcopo,person
The Bishop Lito Co.,institution
Peter L'Episcopo,person
Angelina Anfuso,person
Victor Anfuso,person
Domenico Ricceri,person
Salvatore Mario Castagna,person
Nando Rossi,person
Nino Manno,person
Andre Luotto,person
Frank V Liotta,person
Giorgio Gatti,person
Amelia Bonvicino,person
Eugene Luotto,person
Amerigo Ruggiero,person
J A Antonucci,person
Alex Sandri-White,person
Elena Giurdanella,person
Anna Di Pasqua,person
J Rodman,person
G Adams,person
Marco Valsecchi,person
Umberto Gozzano,person
Mario Ruggeri,person
Gino Valori,person
Mary Carrara,person
Francesco Lanza,person
Carola Prosperi,person
Luigi Pirandello,person
Maria Crocetti,person
Elisa Odabella,person
Clara Grifoni,person
Alberto G Scapazzoni,person
Gino Cenni,person
Valentino Gavi,person
Nicola Boileau,person
Franco Villa,person
Ugo Banfi,person
G Antonelli,person
Carlo Manzoni,person
Milly Dandolo,person
Dino Falconi,person
Lucio D'Ambra,person
Dino Provenzal,person
Gasperini e Riva,person
Tilde Botta,person
Arrigo Boito,person
Vincenzo Cardarella,person
Enrico Roda,person
Salvator Gotta,person
Federico Mennella,person
OR Iolo,person
Diego Valeri,person
G Zavattaro,person
Alan Jones,person
Gino Pelli,person
FM Peman,person
Aldo Capasso,person
Ernesto Lenger,person
W S Maugham,person
Dino Campana,person
Alessandro Dumas,person
E Suderman,person
TE Brown,person
GB Corelli,person
Edgardo Baldi,person
Umberto Barbaro,person
H Williamson,person
Lucilla Antonelli,person
Edoardo Mottini,person
Enrico Caprile,person
Ada Negri,person
Eca de Queiroz,person
Iean Giono,person
Giovanni Bertacchi,person
Elisa Cibrario,person
Vittorio Malpassuti,person
G Scortecci,person
Alfredo Panzini,person
Aldo Fieri,person
CA Callado,person
Francesco Pastonchi,person
Dott Ansermin,person
Giorgio Venturi,person
M Tibaldi,person
Bianca de Mai,person
Alfredo Palaneschi,person
GM Varga,person
Gino Giulini,person
Leonardo Merrick,person
Selma Lagerlof,person
Anselmo Goli,person
Diego Calcagno,person
Vittorio Calvino,person
AM Ciriello,person
Ottavio Mirbeau,person
Giorgio Agosti,person
Sergio Rolli,person
Marcello Arduino,person
Michele Mastropaolo,person
CI Romano,person
Edoardo Zavattari,person
Arnaldo Cipolla,person
G Bongiovanni,person
Vittorio Buttafava,person
Camillo Balbis,person
Teresa Sensi,person
Ennio Ferrari,person
Mario Siena,person
Fosco Della Ripa,person
Elpidio Jenco,person
Enrica Viviani Della Robbia,person
Severino Pagani,person
Giacomo Zanella,person
Salvatore Sturiale,person
Augusto Baily,person
Eva Ponti,person
Alfredo Manzini,person
Augusto Berty,person
Cesare Zavattini,person
Sergio Franzi,person
Giuseppe Marotta,person
Nino Petrucci,person
Giovanni Papini,person
Antonio Miotto,person
Iole Rizzo Alkalay,person
N Pende,person
Giulio Petroni,person
Giorgio Gigli,person
D Bartoli,person
Pietro Solari,person
Edilio Rusconi,person
Domenico Porzio,person
Orio Vergani,person
L Confalonieri,person
T Hyde Phillips,person
Augusto Dore',person
Alberto Mario,person
Oscar Pio,person
Lee Posner,person
F B La Rossa,person
Eldo Marchetti,person
Clara Zambolini,person
Ugo Palanza,person
De Gennaro,person
Ciro Poggiali,person
Stefano Frati,person
Elio D'Aurora,person
A Padovan,person
Nelly Chiaramonte,person
F Zambolini,person
Anna Marisa Recupito,person
Vittorio Famularo,person
G Descalzo,person
Mario Cardano,person
B T Avancini,person
Carlo Cecioli,person
I Scimone,person
Cesare Gargano,person
Toto R Milana D'Aragona,person
Louis Accotto,person
Laura Maresca,person
John P Baione,person
S Bianco,person
Giovanni John Abys,person
Frank Cariello,person
Aldo Adami,person
Amelia Gasparetto,person
Mark Twain,person
Mario Basile,person
D Diego,person
Gastone Tanzi,person
Marta Belloni,person
Francesco Meirano,person
C Rossi,person
Teofilo Gautier,person
Enrico Serretta,person
Rosaria Lebrizzi,person
FM Maccio',person
Ugo Marini,person
D D'Arezzo,person
Giuseppe Zucca,person
Ugo Altalena ,person
Merce Mundula,person
O Henry,person
Flavia Steno,person
